Ragione Sociale;Data contabile;Data valuta;Banca;Rapporto;Importo;Divisa;Descrizione;Categoria/sottocategoria;Hashtag
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-700;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B65677842/90722659 FAVORE Ceraldi Vincenzo - ADD.TOT - Vincenzo ceraldi acc stip 2025;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-0,75;EUR;COMM.SU BONIFICI - NS RIF. MB0B65677842 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;713,2;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 13/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;129,1;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 11/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;466,8;EUR;BONIF. VS. FAVORE - BON.DA VERDE MONICA DITTA - SALDO FATTURA 3/25 DEL 10/04/2025;Ricavi - Ricavi dalle vendite;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;124,4;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 12/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;832,3;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 11/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT29616846 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;43;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 11/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;7;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 11/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;14/04/2025;14/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-195,09;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B64435115/90244462 FAVORE Morra Antonio - ADD.TOT - Morra saldo stip feb-marz 2025;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;905,4;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 14/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;55,75;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 14/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-240,77;EUR;ADDEBITO DIRETTO SDD - SDD B2B : 73029412064789 PERFETTI VAN MELLE S.P.A.;Fornitori - Generico;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-143,35;EUR;ADDEBITO DIRETTO SDD - SDD B2B : 73029412064789 PERFETTI VAN MELLE S.P.A.;Fornitori - Generico;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1;EUR;COMMISSIONI - Comm.sdd: 73029412064789;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;15/04/2025;11/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1976;EUR;PRELIEVO ASSEGNO - DM 03069 CRA: 01604505117712 NUM: 0208768334;Fornitori - Generico;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT30125790 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT30424999 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1062,65;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 14/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-526,24;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT30424999/00803761 FAVORE avv De Juliis Pier francesco NOTPROVIDE - Iva su parcella gi fatturata per mediazione causa Metronapoli;Servizi - Spese Legali;
CERALDI GROUP S.R.L.;15/04/2025;12/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1064,51;EUR;PRELIEVO ASSEGNO - DM 02008 CRA: 25104900025804 NUM: 0208768335;Fornitori - Generico;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1782,55;EUR;ADDEBITO NEXI - SDD CORE: 8000640000050340753904 NEXI S.P.A. CORSO SEMPIONE, 55;Altre passività - Addebito carta di credito;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;56,5;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 14/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1;EUR;COMMISSIONI - Comm.sdd: 73029412064789;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;15/04/2025;15/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-2115,82;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT30125790/00435673 FAVORE Dolciaria Acquaviva S.p.A. NOTPROVIDE - saldo fatture 410640 409026 407926 407639 406113;Fornitori - Materie prime, beni e servizi;
CERALDI GROUP S.R.L.;16/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;943,8;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 15/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;16/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;178;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 15/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;16/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;5000;EUR;ASS.CIRC.NS BANCA - VVVVV;Ricavi - Generico;
CERALDI GROUP S.R.L.;16/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;50,6;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 15/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;16/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;2;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 15/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;16/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;8000;EUR;VERS. CONTANTI - VVVVV;Ricavi - Deposito contanti;
CERALDI GROUP S.R.L.;16/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;823,3;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 15/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-4655,38;EUR;RIMBORSO FINANZ. - MUTUO N.1788 5217466 RATA 17/04/2025;Altre passività - Mutui;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;592,8;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 16/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1241,3;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 16/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-781,6;EUR;PAG. UTENZE VARIE - BOLL.CBILL AGENZIA DELLE ENTRATE - R CBILL 180071112083060753;Tasse - Imposte e contributi;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-0,75;EUR;COMM.SU BONIFICI - NS RIF. MB0B67826831 SPESE E COMM.;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT31201586 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1342;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MB0B67826831/90445062 FAVORE BENEFICIARI VARI DISTINTA - ADD.TOT - Taiano stipendio marzo 2025;Risorse Umane - Salari e stipendi;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-2,85;EUR;COMMISSIONI - BOLL.CBILL AGENZIA DELLE ENTRATE - R CBILL 180071112083060753;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;17/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-7876,27;EUR;I24 AGENZIA ENTRATE - PAG.TO TELEMATICO - DATA INCASSO 16/04/2025 2025-04-16-22.37.31.071957001470;Tasse - Imposte e contributi;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-2,4;EUR;SPESE - RILASCIO CARNET ASSEGNI;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1;EUR;COMMISSIONI - Comm.sdd: 8002118100000166747248;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;35;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 16/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT31198117 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-2030,72;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT31198117/00113399 FAVORE Nicola De Palma NOTPROVIDE - acconto su fattura 32/25;Fornitori - Materie prime, beni e servizi;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-832,25;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT31201586/00118520 FAVORE ARVAL SERVICE LEASE ITALIA SPA NOTPROVIDE - codice fatturazione K26858 fattura FC0011584434;Servizi - Noleggi;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-196,17;EUR;ADDEBITO DIRETTO SDD - SDD CORE: 8002118100000166747248 Eni Spa - Eni Regolamento Monetario;Utenze - Acqua, luce e gas;
CERALDI GROUP S.R.L.;17/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;58,4;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 16/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;18/04/2025;18/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-5000;EUR;VOSTRA DISPOSIZIONE - VS.DISP. RIF. MBVT31973329/00381892 FAVORE MASTER FROST S.R.L. NOTPROVIDE - fattura 473;Servizi - Spese per manutenzione;
CERALDI GROUP S.R.L.;18/04/2025;18/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;94,8;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 17/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;18/04/2025;18/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;248,1;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 17/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;18/04/2025;18/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;615,2;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 17/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;18/04/2025;18/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1,1;EUR;COMM.SU BONIFICI - RIF.MBVT31973329 COMM.BON. TELEMATICO SCT;Operazioni Finanziarie - Commissioni;
CERALDI GROUP S.R.L.;18/04/2025;18/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1188,9;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 17/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;18/04/2025;17/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-1635,21;EUR;PRELIEVO ASSEGNO - DM 05387 CRA: 25041700198911 NUM: 0208768337;Fornitori - Generico;
CERALDI GROUP S.R.L.;22/04/2025;18/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-420,7;EUR;PRELIEVO ASSEGNO - DM 03032 CRA: 51081698686301 NUM: 0208768339;Fornitori - Generico;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;195,5;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 19/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;7,5;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 19/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;769,3;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 21/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;89;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 18/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1159,2;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 18/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;141,7;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 19/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;12;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 21/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;143,7;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 21/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;22/04/2025;16/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-438,03;EUR;PRELIEVO ASSEGNO - DM 03069 CRA: 01608521526212 NUM: 0208768260;Fornitori - Generico;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1110,2;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 19/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1110,6;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 21/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1112,6;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 19/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1213,4;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 18/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;19,4;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 18/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;22/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;162,55;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 21/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;23/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-636,97;EUR;PRELIEVO ASSEGNO - DM 02008 CRA: 25112800123709 NUM: 0208769071;Fornitori - Generico;
CERALDI GROUP S.R.L.;23/04/2025;23/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;62,6;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 22/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;23/04/2025;23/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;18;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 22/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;23/04/2025;23/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;287,1;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 22/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;23/04/2025;23/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;524,4;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 22/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;23/04/2025;23/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1318,9;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 22/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;24/04/2025;25/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-2190,29;EUR;RIMBORSO FINANZ. - MUTUO N.1788 7629783 RATA 25/04/2025;Altre passività - Mutui;
CERALDI GROUP S.R.L.;24/04/2025;24/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-512,57;EUR;RIMBORSO FINANZ. - MUTUO N.1788 4851906 RATA 24/04/2025;Altre passività - Mutui;
CERALDI GROUP S.R.L.;24/04/2025;23/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-727,38;EUR;PRELIEVO ASSEGNO - DM 07601 CRA: 82511300719509 NUM: 0208768256;Fornitori - Generico;
CERALDI GROUP S.R.L.;24/04/2025;24/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;823,1;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 23/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;24/04/2025;24/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;13;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 23/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;24/04/2025;24/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;134,2;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 23/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;24/04/2025;23/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-201,21;EUR;I24 AGENZIA ENTRATE - PAG.TO TELEMATICO - DATA INCASSO 23/04/2025 2025-04-23-22.30.44.424003000055;Tasse - Imposte e contributi;
CERALDI GROUP S.R.L.;24/04/2025;24/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;971,1;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 23/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;24/04/2025;22/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;-511,93;EUR;PRELIEVO ASSEGNO - DM 06230 CRA: 51131741662300 NUM: 0208768340;Fornitori - Generico;
CERALDI GROUP S.R.L.;24/04/2025;24/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;7;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 23/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;24/04/2025;24/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;205,5;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 23/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;28/04/2025;28/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;1092,9;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 27/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;28/04/2025;28/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;195,4;EUR;INCAS. TRAMITE P.O.S - NUMIA-PGBNT DEL 25/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS;
CERALDI GROUP S.R.L.;28/04/2025;28/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;774,1;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 24/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;28/04/2025;28/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;856,15;EUR;INC.POS CARTE CREDIT - NUMIA-INTER DEL 27/04/25 PDV 3757283/00012 CERALDI CAFFE' NA;Ricavi - Incasso tramite POS-Carte di credito;
CERALDI GROUP S.R.L.;28/04/2025;28/04/2025;05034 - BANCO BPM S.P.A.;5462 - 03406 - 178800005462;20;EUR;INC.POS CARTE CREDIT - NUMIA-AMEX DEL 24/04/25 PDV 3757283/00011 CERALDI CAFFE NA;Ricavi - Incasso tramite POS-Carte di credito;
